timestamp,source_ip,destination_ip,protocol,packet_size
2026-06-16 10:34:46.515835,142.250.194.229,10.246.100.105,6,1434
2026-06-16 10:34:46.515835,10.246.100.105,142.250.194.229,6,54
2026-06-16 10:34:46.519920,142.250.194.229,10.246.100.105,6,956
2026-06-16 10:34:46.519920,142.250.194.229,10.246.100.105,6,1434
2026-06-16 10:34:46.519920,142.250.194.229,10.246.100.105,6,1434
2026-06-16 10:34:46.519920,142.250.194.229,10.246.100.105,6,1017
2026-06-16 10:34:46.519920,142.250.194.229,10.246.100.105,6,1434
2026-06-16 10:34:46.519920,142.250.194.229,10.246.100.105,6,1434
2026-06-16 10:34:46.524246,142.250.194.229,10.246.100.105,6,821
2026-06-16 10:34:46.524908,142.250.194.229,10.246.100.105,6,1434
2026-06-16 10:34:46.524908,142.250.194.229,10.246.100.105,6,1434
2026-06-16 10:34:46.524908,142.250.194.229,10.246.100.105,6,787
2026-06-16 10:34:46.524908,142.250.194.229,10.246.100.105,6,54
2026-06-16 10:34:46.524908,10.246.100.105,142.250.194.229,6,54
2026-06-16 10:34:46.524908,142.250.194.229,10.246.100.105,6,1434
2026-06-16 10:34:46.524908,142.250.194.229,10.246.100.105,6,1434
2026-06-16 10:34:46.524908,142.250.194.229,10.246.100.105,6,999
2026-06-16 10:34:46.530395,142.250.194.229,10.246.100.105,6,93
2026-06-16 10:34:46.530395,10.246.100.105,142.250.194.229,6,54
2026-06-16 10:34:46.530395,10.246.100.105,142.250.194.229,6,93
2026-06-16 10:34:46.530395,10.246.100.105,142.250.143.95,17,74
2026-06-16 10:34:46.532677,142.250.182.35,10.246.100.105,17,987
2026-06-16 10:34:46.534188,142.250.182.35,10.246.100.105,17,163
2026-06-16 10:34:46.534188,10.246.100.105,142.250.182.35,17,74
2026-06-16 10:34:46.534188,13.107.5.93,10.246.100.105,6,54
2026-06-16 10:34:46.534188,13.107.5.93,10.246.100.105,6,1434
2026-06-16 10:34:46.534188,13.107.5.93,10.246.100.105,6,1434
2026-06-16 10:34:46.534188,13.107.5.93,10.246.100.105,6,1434
2026-06-16 10:34:46.534188,13.107.5.93,10.246.100.105,6,1434
2026-06-16 10:34:46.534188,13.107.5.93,10.246.100.105,6,842
2026-06-16 10:34:46.534188,10.246.100.105,13.107.5.93,6,54
2026-06-16 10:34:46.539428,10.246.100.105,13.107.5.93,6,1704
2026-06-16 10:34:46.540033,142.250.143.95,10.246.100.105,17,66
2026-06-16 10:34:46.541093,142.250.182.35,10.246.100.105,17,70
2026-06-16 10:34:46.541093,142.250.194.229,10.246.100.105,6,54
2026-06-16 10:34:46.541093,13.107.5.93,10.246.100.105,6,54
2026-06-16 10:34:46.541093,13.107.5.93,10.246.100.105,6,513
2026-06-16 10:34:46.558301,10.246.100.105,142.250.182.35,17,74
2026-06-16 10:34:46.560456,142.250.182.35,10.246.100.105,17,574
2026-06-16 10:34:46.565716,142.250.182.35,10.246.100.105,17,64
2026-06-16 10:34:46.565716,10.246.100.105,142.250.182.35,17,77
2026-06-16 10:34:46.569944,13.107.5.93,10.246.100.105,6,1434
2026-06-16 10:34:46.569944,13.107.5.93,10.246.100.105,6,136
2026-06-16 10:34:46.569944,10.246.100.105,13.107.5.93,6,54
2026-06-16 10:34:46.572602,13.107.5.93,10.246.100.105,6,1100
2026-06-16 10:34:46.574118,13.107.5.93,10.246.100.105,6,610
2026-06-16 10:34:46.574472,10.246.100.105,13.107.5.93,6,54
2026-06-16 10:34:46.582185,10.246.100.105,142.250.206.129,17,1292
2026-06-16 10:34:46.582185,10.246.100.105,142.250.206.129,17,1292
2026-06-16 10:34:46.600408,13.107.5.93,10.246.100.105,6,54
